,AccuRapid-Ecoli-Extract-Mix:Kind,AccuRapid-Ecoli-Extract-Mix:MasterMix,AccuRapid-Ecoli-Extract-Mix:Volume,AccuRapid-Master-Mix:Kind,AccuRapid-Master-Mix:MasterMix,AccuRapid-Master-Mix:Volume,Activity-Assay-Master-Mix:Kind,Activity-Assay-Master-Mix:LigandMix,Activity-Assay-Master-Mix:Volume,ContainerId,ContainerName,Containers,Aliquot ID,Name,PCR-H2O:Kind,PCR-H2O:Volume,PCR-H2O:Water,Volume,Well Index,incubation_temp,source
28,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbduhs2,,,,,30:microliter,28,,
29,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbduhs4,,,,,30:microliter,29,,
30,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbduhs6,,,,,30:microliter,30,,
31,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbeyqw4,,,,,30:microliter,31,,
32,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbeyqw6,,,,,30:microliter,32,,
33,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbg4x24,,,,,30:microliter,33,,
34,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbg4x26,,,,,30:microliter,34,,
35,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxefxbg4x28,,,,,30:microliter,35,,
36,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72ypkyn8,,,,,30:microliter,36,55:celsius,ct1fdrbvet5khpa:0
37,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72ypkyna,,,,,30:microliter,37,55:celsius,ct1fdrbvet5khpa:1
38,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yqr6sa,,,,,30:microliter,38,55:celsius,ct1fdrbvet5khpa:2
39,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yqr6sc,,,,,30:microliter,39,55:celsius,ct1fdrbvet5khpa:3
40,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yqr6se,,,,,30:microliter,40,,
41,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yrvcwb,,,,,30:microliter,41,,
42,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yrvcwd,,,,,30:microliter,42,,
43,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yszk2b,,,,,30:microliter,43,,
44,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yszk2d,,,,,30:microliter,44,,
45,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yszk2f,,,,,30:microliter,45,,
46,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yu5s6c,,,,,30:microliter,46,,
47,,,,,,,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd72yu5s6e,,,,,30:microliter,47,,
48,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd8ubjbwaf,,,,,30:microliter,48,47.5:celsius,ct1fdrbvet5khpa:0
49,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd8ubjbwah,,,,,30:microliter,49,47.5:celsius,ct1fdrbvet5khpa:1
50,Protein,rs1f47z2uft2kyv,20:microliter,Protein,rs1f47z3qb2zdga,40:microliter,,,,ct1ffua5u4wnr98,Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate,Container(Row:0-ct1ffg5rdguqzjm-Incubated-IVTT-Storage-Plate),aq1ffxd8ubkg4eg,,,,,30:microliter,50,47.5:celsius,ct1fdrbvet5khpa:2
